,duration_bin,games_played,wins,hero_id
609,1800,3109,1483,30
610,3900,117,52,30
611,300,39,23,30
612,6000,2,2,30
613,3000,762,382,30
614,4200,57,32,30
615,4500,30,17,30
616,1200,1799,868,30
617,2700,1100,541,30
618,5100,10,4,30
619,2100,2292,1066,30
620,5400,1,1,30
621,900,831,387,30
622,6300,1,0,30
623,600,224,107,30
624,2400,1734,828,30
625,3600,216,110,30
626,1500,2611,1233,30
627,4800,19,10,30
628,3300,319,161,31
629,1800,3462,1670,31
630,3900,112,63,31
631,300,42,13,31
632,6000,2,1,31
633,3000,767,371,31
634,4200,57,34,31
635,4500,19,8,31
636,1200,2100,888,31
637,2700,1073,547,31
638,5100,6,2,31
639,2100,2496,1207,31
640,5400,2,1,31
641,900,802,342,31
642,6300,2,1,31
643,600,231,100,31
644,2400,1808,924,31
645,3600,224,109,31
646,1500,3036,1400,31
647,4800,15,7,31
648,5700,1,0,32
649,3300,178,74,32
650,1800,1438,741,32
651,3900,46,28,32
652,300,16,11,32
653,3000,323,183,32
654,4200,26,16,32
655,4500,13,4,32
656,1200,800,390,32
657,2700,433,204,32
658,5100,6,3,32
659,2100,992,516,32
660,5400,3,2,32
661,900,299,133,32
662,600,77,44,32
663,2400,761,422,32
664,3600,80,39,32
665,1500,1244,614,32
666,4800,5,3,32
667,5700,3,0,33
668,3300,281,153,33
669,1800,2030,1075,33
670,3900,91,53,33
671,300,25,13,33
672,7200,1,0,33
673,3000,569,294,33
674,4200,42,20,33
675,6600,1,0,33
676,4500,19,11,33
677,1200,1082,616,33
678,2700,783,438,33
679,5100,5,3,33
680,2100,1682,848,33
681,5400,1,0,33
682,900,471,264,33
683,600,105,64,33
684,2400,1300,718,33
685,3600,143,70,33
686,1500,1618,870,33
687,4800,12,6,33
688,5700,2,1,34
689,3300,275,134,34
690,1800,1227,594,34
691,3900,76,38,34
692,300,20,4,34
693,6000,1,0,34
694,7200,1,0,34
695,3000,507,226,34
696,4200,46,19,34
697,6600,1,1,34
698,4500,24,15,34
699,1200,633,307,34
700,2700,631,255,34
701,5100,5,3,34
702,2100,1101,514,34
703,5400,3,2,34
704,900,287,130,34
705,6300,1,1,34
706,600,92,41,34
707,2400,961,423,34
708,3600,186,89,34
709,1500,1104,547,34
710,4800,16,8,34
711,5700,6,2,35
712,3300,222,86,35
713,1800,1539,753,35
714,3900,56,21,35
715,300,16,9,35
716,7200,1,0,35
717,3000,376,167,35
718,4200,46,20,35
719,4500,12,4,35
720,1200,857,492,35
721,2700,533,229,35
722,5100,8,6,35
723,2100,1154,544,35
724,5400,4,3,35
725,900,295,152,35
726,12000,1,1,35
727,600,73,36,35
728,2400,799,326,35
729,3600,117,50,35
730,1500,1370,713,35
731,4800,11,3,35
732,5700,2,1,36
733,3300,221,114,36
734,1800,1703,843,36
735,3900,57,23,36
736,300,21,8,36
737,6000,1,0,36
738,3000,412,202,36
739,4200,41,13,36
740,4500,13,9,36
741,1200,1034,558,36
742,2700,563,249,36
743,5100,4,2,36
744,2100,1365,719,36
745,5400,1,0,36
746,900,422,216,36
747,6300,1,0,36
748,600,109,53,36
749,2400,932,469,36
750,3600,90,47,36
751,1500,1617,805,36
752,4800,6,3,36
753,5700,1,1,37
754,3300,192,101,37
755,1800,1718,820,37
756,3900,63,27,37
757,300,16,5,37
758,3000,413,204,37
759,4200,22,10,37
760,4500,23,15,37
761,1200,958,443,37
762,2700,520,263,37
763,5100,1,0,37
764,2100,1269,620,37
765,5400,2,1,37
766,900,378,155,37
767,6300,1,0,37
768,600,80,34,37
769,2400,903,420,37
770,3600,106,58,37
771,1500,1481,735,37
772,4800,10,4,37
773,5700,2,1,38
774,3300,390,189,38
775,1800,3949,2166,38
776,3900,108,45,38
777,300,36,21,38
778,6000,1,1,38
779,7200,1,0,38
780,3000,800,416,38
781,4200,45,21,38
782,4500,22,12,38
783,1200,2582,1656,38
784,2700,1168,562,38
785,5100,8,3,38
786,2100,2859,1459,38
787,5400,2,2,38
788,900,1009,675,38
789,600,225,142,38
790,2400,2029,982,38
791,3600,210,99,38
792,1500,3584,2055,38
793,4800,11,4,38
794,3300,558,316,39
795,1800,4800,2396,39
796,3900,151,70,39
797,300,38,23,39
798,3000,1037,526,39
799,4200,81,47,39
800,4500,35,20,39
801,1200,2469,1160,39
802,2700,1634,831,39
803,5100,13,7,39
804,2100,3803,1945,39
805,5400,3,2,39
806,900,842,435,39
807,6300,1,1,39
808,600,228,131,39
809,2400,2663,1345,39
810,8400,1,0,39
811,3600,284,143,39
812,1500,4138,2013,39
813,4800,19,14,39
814,5700,3,1,40
815,3300,274,145,40
816,1800,2026,1012,40
817,3900,83,41,40
818,300,18,5,40
819,6000,4,2,40
820,7200,1,0,40
821,3000,531,252,40
822,4200,52,30,40
823,4500,19,7,40
824,1200,1209,668,40
825,2700,758,381,40
826,5100,4,3,40
827,6900,1,0,40
828,2100,1676,880,40
829,5400,1,0,40
830,900,510,292,40
831,600,118,54,40
832,2400,1206,606,40
833,8400,1,1,40
834,3600,168,84,40
835,1500,1912,999,40
836,4800,9,5,40
837,5700,2,1,41
838,3300,532,306,41
839,1800,4144,2068,41
840,3900,146,80,41
841,300,43,19,41
842,3000,1013,574,41
843,4200,69,36,41
844,4500,32,18,41
845,1200,2144,920,41
846,2700,1574,857,41
847,5100,12,7,41
848,2100,3350,1765,41
849,5400,3,0,41
850,900,867,365,41
851,6300,2,0,41
852,600,250,103,41
853,2400,2691,1403,41
854,3600,292,158,41
855,1500,3345,1508,41
856,4800,12,6,41
857,5700,3,2,42
858,3300,286,150,42
859,1800,2822,1472,42
860,3900,67,29,42
861,300,41,17,42
862,3000,619,320,42
863,4200,41,19,42
864,6600,1,1,42
865,4500,26,19,42
866,1200,1595,753,42
867,2700,830,398,42
868,5100,7,5,42
869,2100,2037,1014,42
870,5400,3,1,42
871,900,634,290,42
872,600,180,87,42
873,2400,1429,682,42
874,3600,156,80,42
875,1500,2610,1330,42
876,4800,12,9,42
877,5700,3,3,43
